raceId,year,round,nameRace,date,time,circuitRef,nameCircuit,location,country,lat,lng,alt
33,2008,16,Japanese Grand Prix,2008-10-12,04:30:00,fuji,Fuji Speedway,Oyama,Japan,35.3717,138.927,583.0
34,2008,17,Chinese Grand Prix,2008-10-19,07:00:00,shanghai,Shanghai International Circuit,Shanghai,China,31.3389,121.22,5.0
35,2008,18,Brazilian Grand Prix,2008-11-02,17:00:00,interlagos,Autódromo José Carlos Pace,São Paulo,Brazil,-23.7036,-46.6997,785.0
36,2007,1,Australian Grand Prix,2007-03-18,03:00:00,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10.0
37,2007,2,Malaysian Grand Prix,2007-04-08,07:00:00,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,2.76083,101.738,18.0
38,2007,3,Bahrain Grand Prix,2007-04-15,11:30:00,bahrain,Bahrain International Circuit,Sakhir,Bahrain,26.0325,50.5106,7.0
39,2007,4,Spanish Grand Prix,2007-05-13,12:00:00,catalunya,Circuit de Barcelona-Catalunya,Montmeló,Spain,41.57,2.26111,109.0
40,2007,5,Monaco Grand Prix,2007-05-27,12:00:00,monaco,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056,7.0
41,2007,6,Canadian Grand Prix,2007-06-10,17:00:00,villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-73.5228,13.0
42,2007,7,United States Grand Prix,2007-06-17,17:00:00,indianapolis,Indianapolis Motor Speedway,Indianapolis,USA,39.795,-86.2347,223.0
43,2007,8,French Grand Prix,2007-07-01,12:00:00,magny_cours,Circuit de Nevers Magny-Cours,Magny Cours,France,46.8642,3.16361,228.0
44,2007,9,British Grand Prix,2007-07-08,12:00:00,silverstone,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694,153.0
45,2007,10,European Grand Prix,2007-07-22,12:00:00,nurburgring,Nürburgring,Nürburg,Germany,50.3356,6.9475,578.0
46,2007,11,Hungarian Grand Prix,2007-08-05,12:00:00,hungaroring,Hungaroring,Budapest,Hungary,47.5789,19.2486,264.0
47,2007,12,Turkish Grand Prix,2007-08-26,12:00:00,istanbul,Istanbul Park,Istanbul,Turkey,40.9517,29.405,130.0
48,2007,13,Italian Grand Prix,2007-09-09,12:00:00,monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111,162.0
49,2007,14,Belgian Grand Prix,2007-09-16,12:00:00,spa,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139,401.0
50,2007,15,Japanese Grand Prix,2007-09-30,04:30:00,fuji,Fuji Speedway,Oyama,Japan,35.3717,138.927,583.0
51,2007,16,Chinese Grand Prix,2007-10-07,06:00:00,shanghai,Shanghai International Circuit,Shanghai,China,31.3389,121.22,5.0
52,2007,17,Brazilian Grand Prix,2007-10-21,16:00:00,interlagos,Autódromo José Carlos Pace,São Paulo,Brazil,-23.7036,-46.6997,785.0
53,2006,1,Bahrain Grand Prix,2006-03-12,14:30:00,bahrain,Bahrain International Circuit,Sakhir,Bahrain,26.0325,50.5106,7.0
54,2006,2,Malaysian Grand Prix,2006-03-19,15:00:00,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,2.76083,101.738,18.0
55,2006,3,Australian Grand Prix,2006-04-02,14:00:00,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10.0
56,2006,4,San Marino Grand Prix,2006-04-23,14:00:00,imola,Autodromo Enzo e Dino Ferrari,Imola,Italy,44.3439,11.7167,37.0
57,2006,5,European Grand Prix,2006-05-07,14:00:00,nurburgring,Nürburgring,Nürburg,Germany,50.3356,6.9475,578.0
58,2006,6,Spanish Grand Prix,2006-05-14,14:00:00,catalunya,Circuit de Barcelona-Catalunya,Montmeló,Spain,41.57,2.26111,109.0
59,2006,7,Monaco Grand Prix,2006-05-28,14:00:00,monaco,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056,7.0
